Model, mpg, disp, hp, weight
Mazda_RX4, 21, 160, 110, 2.62
Mazda_RX4Wag, 21, 160, 110, 2.875
Datsun_710, 22.8, 108, 93, 2.32
Hornet_4_Drive, 21.4, 258, 110, 3.215
Hornet_Sportabout, 18.7, 360, 175, 3.44
Valiant, 18.1, 225, 105, 3.46
Duster_360, 14.3, 360, 245, 3.57
Merc_240D, 24.4, 146.7, 62, 3.19
Merc_230, 22.8, 140.8, 95, 3.15
Merc_280, 19.2, 167.6, 123, 3.44
Merc_280C, 17.8, 167.6, 123, 3.44
Merc_450SE, 16.4, 275.8, 180, 4.07
Merc_450SL, 17.3, 275.8, 180, 3.73
Merc_450SLC, 15.2, 275.8, 180, 3.78
Cadillac_Fleetwood, 10.4, 472, 205, 5.25
Lincoln_Continental, 10.4, 460, 215, 5.424
Chrysler_Imperial, 14.7, 440, 230, 5.345
Fiat_128, 32.4, 78.7, 66, 2.2
Honda_Civic, 30.4, 75.7, 52, 1.615
Toyota_Corolla, 33.9, 71.1, 65, 1.835
Toyota_Corona, 21.5, 120.1, 97, 2.465
Dodge_Challenger, 15.5, 318, 150, 3.52
AMC_Javelin, 15.2, 304, 150, 3.435
Camaro_Z28, 13.3, 350, 245, 3.84
Pontiac_Firebird, 19.2, 400, 175, 3.845
Fiat_X1-9, 27.3, 79, 66, 1.935
Porsche_914-2, 26, 120.3, 91, 2.14
Lotus_Europa, 30.4, 95.1, 113, 1.513
Ford_Pantera_L, 15.8, 351, 264, 3.17
Ferrari_Dino, 19.7, 145, 175, 2.77
Maserati_Bora, 15, 301, 335, 3.57
Volvo_142E, 21.4, 121, 109, 2.78
